115|11.40| 52.8| 340| 360| 90| 350|0.94|0.85| 13.8|  47.0| 148.3
116| 9.57| 43.3| 160| 180| 90| 170|0.89|0.71|  6.7|   4.5|  12.6
117|11.55| 52.5|  60| 180|129| 104|0.33|0.74|  3.1|   1.1|   4.3
118|10.44|315.7|  80| 160|  0| 113|0.50|0.78|  6.7|   1.5|   2.3
119| 9.93|319.5|  60| 100|  0|  71|0.60|0.67|  4.6|   0.4|   0.6
120|17.71|296.4| 440| 540| 48| 487|0.81|0.17|     |  25.2|  36.9
121| 9.79| 36.2| 140| 280|  0| 198|0.50|0.88| 11.7|   8.9|  14.9
122|11.00|317.2| 180| 200| 90| 190|0.90|0.74|  5.6|   6.6|  28.3
123|10.79| 41.2| 220| 300|  0| 257|0.73|1.02| 12.2|  22.5|  54.2
124|15.11|302.7| 140| 180|  0| 159|0.78|0.46|  6.3|   2.4|   6.3
125|17.44|298.3| 200| 340| 57| 261|0.59|0.25| 10.3|   5.7|  14.9
126|10.56|322.5| 120| 240|119| 170|0.50|0.65|  6.7|   4.1|  11.6
127|11.71| 44.0| 200| 400|  0| 283|0.50|0.65|  6.7|  19.2| 116.6
128|10.79|323.7|  60| 100|  0| 771|0.60|0.75|  4.6|   0.5|   0.7
129|10.39| 33.2|  60| 180| 49| 104|0.33|0.80|  4.1|   1.2|   3.1
130| 9.58|339.5| 660| 680| 90| 670|0.97|0.55| 15.9| 213.3|1409.9
131|17.74|300.9|  80| 120| 90|  98|0.67|0.16|     |   0.2|   0.2
132| 9.26|  9.8| 460| 480| 90| 470|0.96|0.37| 18.6|  49.9| 147.4
133|13.73|312.3| 160| 240| 98| 196|0.67|0.43| 11.6|   4.2|   6.5
134| 9.53| 13.9|  20| 120| 47|  49|0.17|0.51|  2.9|   0.1|   0.1
135|11.01| 31.4|   0| 200|168|    |0.00|0.67|     |      |
136|16.34|305.9| 220| 320| 49| 265|0.69|0.35|     |   8.5|  12.8
137| 9.63|  2.6|   0|  80|  0|    |0.00|0.60|     |      |
138|10.21| 14.9| 160| 200|  0| 179|0.80|0.80| 10.6|   5.9|   9.6
139|10.27|351.2| 220| 400|  0| 297|0.55|0.63|  7.8|  21.2| 114.5
140|11.73|330.9|  80| 160|  0| 113|0.50|0.57|  4.5|   1.1|   2.8
141|10.93|345.1| 100| 260|126| 161|0.38|0.60|     |   3.3|   4.9
